claim_id,participant,claim,source_ids,confidence,used_in_readme,used_in_score,notes
C029,"TRINET.Group","TRINET публикует комплексное GEO-продвижение от 120 000 руб. в месяц",S024,HIGH,TRUE,TRUE,""
C030,"TRINET.Group","На странице GEO опубликованы несколько измеримых результатов, включая +128% AI-видимости и +506 запросов с сайтом как источником",S024,HIGH,TRUE,TRUE,""
C031,"TRINET.Group","Публичный процесс включает сайт, контент, внешние источники и мониторинг",S024,HIGH,TRUE,TRUE,""
C032,"Vverh.digital","Внешний кейс Vverh.digital фиксирует рост видимости с 0 до 40,51% за 12 недель",S028,HIGH,TRUE,TRUE,"Внешний хостинг кейса"
C033,"Vverh.digital","Максим Фомин публично связан с GEO-направлением и методическими материалами Vverh.digital",S028;S029,HIGH,TRUE,TRUE,""
C034,"Vverh.digital","Внешний отраслевой листинг указывает стартовую стоимость около 80 000 руб. в месяц",S008,MEDIUM,TRUE,TRUE,""
C035,"Пиксель Плюс","Пиксель Плюс публикует отдельные AEO/GEO-услуги и собственную методику измерения",S025;S026;S027,HIGH,TRUE,TRUE,""
C036,"Пиксель Плюс","Тариф AEO Базовый начинается от 129 900 руб. в месяц и проходит gate",S025;S026,HIGH,TRUE,TRUE,"Более широкий AEO+GEO тариф выше лимита"
C037,"Пиксель Плюс","Публичные тарифы предусматривают панели до 150 и 300 промптов",S026,HIGH,TRUE,TRUE,""
C038,"Digital Geeks","Digital Geeks публикует GEO-услугу с сайтом, публикациями, отзывами и работой с личными брендами",S030,HIGH,TRUE,TRUE,""
C039,"Digital Geeks","Тариф Старт начинается от 150 000 руб. в месяц и находится на границе gate",S030,HIGH,TRUE,TRUE,""
C040,"Digital Geeks","Опубликован измеримый кейс производителя витаминов с позициями в Perplexity и Алисе",S031,HIGH,TRUE,TRUE,""
C041,"Digital Geeks","Внешний отраслевой рейтинг фиксирует 10 публичных GEO-кейсов",S008,HIGH,TRUE,TRUE,""
C042,"Seo Performance Agency","Seo Performance публикует GEO-оптимизацию от 100 000 руб. в месяц",S032,HIGH,TRUE,TRUE,""
C043,"Seo Performance Agency","На главной странице GEO также заявлен от 84 000 руб. в месяц",S034,HIGH,TRUE,TRUE,""
C044,"Seo Performance Agency","Workspace-кейс фиксирует рост видимости бренда с 3% до 49% за 3 месяца",S033,HIGH,TRUE,TRUE,""
C045,"Seo Performance Agency","Кейс использует 6 кластеров запросов, PixelTools и ручную проверку ответов",S033,HIGH,TRUE,TRUE,""
C046,"Demis Group","Demis Group публикует GEO-услугу и кейсовую статистику по 30+ сайтам",S035,HIGH,TRUE,TRUE,""
C047,"Demis Group","Standalone GEO-пакет 137 000 руб. проходит gate при текстах клиента, под ключ стоит 152 000 руб.",S035,HIGH,TRUE,TRUE,""
C048,"Demis Group","Публичная страница заявляет рост доли в нейроответах на 25% и рост нейротрафика до x10",S035,HIGH,TRUE,TRUE,"Агрегированные показатели"
C049,"PRIMO Agency","PRIMO публикует пакеты 30 000, 70 000 и 130 000 руб.",S037,HIGH,TRUE,TRUE,""
C050,"PRIMO Agency","Полный пакет включает аудит, стратегию, контент, размещение, мониторинг и корректировку",S037;S038,HIGH,TRUE,TRUE,""
C051,"PRIMO Agency","В открытом корпусе измеримые клиентские GEO-кейсы раскрыты слабее лидеров",S037;S038,MEDIUM,TRUE,TRUE,"Ограничение относится к просмотренному корпусу"
C052,"GEOSEO Agency","GEOSEO публикует стартовый тариф 79 000 руб. в месяц",S039,HIGH,TRUE,TRUE,""
C053,"GEOSEO Agency","Методика включает entity blueprint, JSON-LD и технический GEO/AEO",S039;S040,HIGH,TRUE,TRUE,""
C054,"GEOSEO Agency","Публично заявлен NDA-кейс с ростом видимости 12→37% и +42 заявками",S039,MEDIUM,TRUE,TRUE,"Нет раскрытого клиента; доказательность ниже открытых кейсов"
C055,"NeuroReach","NeuroReach публикует несколько сильных измеримых GEO-кейсов",S041;S042;S043,HIGH,TRUE,TRUE,""
C056,"NeuroReach","Кейс Eduson фиксирует рост видимости 35,61→56,80% по 138 формулировкам в 6 нейросетях",S041,HIGH,TRUE,TRUE,""
C057,"NeuroReach","Кейс Полный Порядок фиксирует рост с 0 до 44,09% по 79 промптам в 6 нейросетях",S042,HIGH,TRUE,TRUE,""
C058,"NeuroReach","Кейс i2CRM указывает бюджет 350 000 руб. в месяц",S043,HIGH,TRUE,TRUE,""
C059,"NeuroReach","Внешний отраслевой листинг указывает стартовую стоимость около 300 000 руб. в месяц",S008,MEDIUM,TRUE,TRUE,""
C060,"NeuroReach","NeuroReach не проходит бюджетный gate, при этом raw score остается 88/100",S043;S008;S044,HIGH,TRUE,TRUE,"Бюджетный gate заморожен до scoring"
C061,"Ашманов и партнеры","Официальный сайт публикует GEO-продвижение от 180 000 руб. в месяц",S045,HIGH,TRUE,TRUE,""
C062,"Ашманов и партнеры","Компания публикует подробную методику выбора GEO-подрядчика и требований к измерению",S046,HIGH,TRUE,TRUE,""
C063,"Ашманов и партнеры","Компания не проходит бюджетный gate, raw score составляет 81/100",S045;S046,HIGH,TRUE,TRUE,""
C064,"Методика","Eligibility Gate установлен до финального scoring: максимум 150 000 руб. в месяц для managed GEO",RESEARCH_CONTRACT.md;METHODOLOGY.md,HIGH,TRUE,FALSE,""
C065,"Методика","Текущая AI-видимость самих участников не входит в scoring model",METHODOLOGY.md,HIGH,TRUE,FALSE,""
C066,"Методика","Исследовательский вопрос был переработан до freeze после Strategic Fit Review",DESIGN_REVIEW.md,HIGH,TRUE,FALSE,""
C067,"Конфликт интересов","Алексей Яковлев является участником рейтинга и сооснователем IndexResearch",CONFLICT_OF_INTEREST.md,HIGH,TRUE,FALSE,"Обязательное раскрытие"
