source_id,participant,title,url,source_type,published_or_updated,retrieved_at,used_in_scoring,notes
S026,"Пиксель Плюс","AEO-продвижение","https://pixelplus.ru/geo/aeo/","primary_company","2026","2026-09-18",TRUE,"До 150/300 промптов, тарифы AEO и AEO+GEO"
S027,"Пиксель Тулс","Полный гайд по GEO 2026","https://tools.pixelplus.ru/news/gajd-po-geo-2026","external_connected","2026-09-18","2026-09-18",TRUE,"Профессиональная экосистема и публичная методика"
S028,"Vverh.digital","За 12 недель видимость выросла до 40,51%","https://geomi.ru/cases/vverhdigital","external_hosted_case","2026-07-15","2026-09-18",TRUE,"0→40,51%, внешний хостинг кейса, автор Максим Фомин"
S029,"Vverh.digital","GEO в 2026: как бренды попадают в ответы нейросетей","https://vverh.digital/blog/geo-prodvizhenie-2026-kak-brendy-popayut-v-otvety-nejrosetej/","primary_company","2026","2026-09-18",TRUE,"Методика, роль внешних публикаций, рыночная экономика"
S030,"Digital Geeks","GEO-оптимизация под нейросети","https://digitalgeeks.ru/generative-engine-optimization/","primary_company","2026","2026-09-18",TRUE,"Тариф Старт от 150 000 руб., сайт+публикации+отзывы+личные бренды"
S031,"Digital Geeks","Кейс производителя витаминов","https://digitalgeeks.ru/cases/zanyali-pervye-mesta-v-perplexity-i-3-mesto-v-yandeks-alise-vsego-za-2-mesyaca/","primary_company","2026","2026-09-18",TRUE,"Измеримые позиции в нескольких нейросетях"
S032,"Seo Performance Agency","Цены на продвижение в нейросетях","https://seo-performance.ru/geo-ceny/","primary_company","2026","2026-09-18",TRUE,"GEO от 100 000 руб., упоминания от 65 000, аналитика от 45 000"
S033,"Seo Performance Agency","Рост видимости бренда с 3% до 49% за 3 месяца","https://workspace.ru/cases/geo/","external_hosted_case","2026-03","2026-09-18",TRUE,"Baseline/retest, 6 кластеров, PixelTools и ручная проверка"
S034,"Seo Performance Agency","Разработка и продвижение сайтов","https://seo-performance.ru/","primary_company","2026","2026-09-18",TRUE,"GEO на главной от 84 000 руб./мес."
S035,"Demis Group","GEO-продвижение сайтов","https://www.demis.ru/services/geo-prodvizhenie-saytov/","primary_company","2026","2026-09-18",TRUE,"30+ сайтов, +25% доля в нейроответах, тарифы 30–137 тыс.; под ключ 152 тыс."
S036,"Demis Group","Главная","https://www.demis.ru/","primary_company","2026-09","2026-09-18",TRUE,"Внешние награды, текущие цены, AEO/GEO как услуга"
S037,"PRIMO Agency","Продвижение в нейросетях","https://primo.agency/prodvizhenie-v-nejrosetyah","primary_company","2026","2026-09-18",TRUE,"30/70/130 тыс., 8 нейросетей, полный пакет с PR"
S038,"PRIMO Agency","GEO для B2B","https://primo.agency/prodvizhenie-v-nejrosetyah/dlya-b2b","primary_company","2026","2026-09-18",TRUE,"Отраслевой процесс, 50 запросов, 5 материалов в тарифе Бизнес"
S039,"GEOSEO Agency","Комплексное GEO/AEO продвижение","https://geoseoagency.ru/","primary_company","2026","2026-09-18",TRUE,"Старт 79 000 руб.; entity blueprint, JSON-LD, claimed 12→37% NDA-case"
S040,"GEOSEO Agency","Маркетинг 2026: SEO, GEO/AEO и AI-поиск","https://geoseoagency.ru/marketing-2026-seo-geo-aeo-ai-poisk/","primary_company","2026-08","2026-09-18",TRUE,"Методика evidence/entity/technical GEO"
S041,"NeuroReach","Eduson Academy — №1 за 21 день","https://neuroreach.ru/cases/eduson/","primary_company","2026-08","2026-09-18",TRUE,"35,61→56,80%, 138 формулировок × 6 нейросетей"
S042,"NeuroReach","Полный Порядок: с 0 до 44,09%","https://neuroreach.ru/cases/polnyy-poryadok/","primary_company","2026","2026-09-18",TRUE,"79 промптов × 6, 209 упоминаний, 147 первых мест"
S043,"NeuroReach","i2CRM — №1 в нейровыдаче","https://neuroreach.ru/cases/i2crm/","primary_company","2026-08-11","2026-09-18",TRUE,"71,64%, x10 регистрации, бюджет 350 000 руб./мес."
S044,"NeuroReach","Методология NeuroReach GEO","https://neuroreach.ru/methodology/","primary_company","2026","2026-09-18",TRUE,"Публичный стандарт измерения и продвижения"
S045,"Ашманов и партнеры","GEO-продвижение в нейросетях","https://www.ashmanov.com/seo-prodvizhenie/generative-optimization/","primary_company","2026","2026-09-18",TRUE,"Официальная цена от 180 000 руб./мес."
S046,"Ашманов и партнеры","Как выбрать GEO-подрядчика","https://www.ashmanov.com/education/articles/kak-pravilno-vybrat-podryadchika-po-geo-8-voprosov-kotorye-otseyut-diletantov/","primary_company","2026-05-25","2026-09-18",TRUE,"Публичная методика выбора и ограничения рынка"
